Bloom filter size (MiB); Block size (bytes); bits to sort; Probe size ; Hash time (ms); Sort time (ms); Probe time (ms); Total throughput
32;128;12;32;0.01717;0.017388;0.077306;214946
32;128;13;32;0.017658;0.020254;0.075463;214297
32;128;14;32;0.01803;0.020428;0.06381;208031
32;128;15;32;0.017462;0.020289;0.062989;209481
32;128;16;32;0.017477;0.021176;0.062902;201877
32;128;17;32;0.016876;0.020694;0.062824;211525
32;128;18;32;0.016507;0.020979;0.063388;203820
32;128;19;32;0.017956;0.024301;0.075966;210115
32;128;20;32;0.017104;0.024102;0.062879;207420
32;128;21;32;0.016544;0.023753;0.06345;228710
32;128;22;32;0.017793;0.024243;0.078079;205099
32;128;23;32;0.016635;0.02491;0.063284;205918
32;128;24;32;0.01677;0.024402;0.06295;228990
32;128;25;32;0.017548;0.027599;0.06328;200912
32;128;26;32;0.017805;0.027583;0.076866;202319
32;128;27;32;0.017084;0.028092;0.062578;204007
32;128;28;32;0.017742;0.027916;0.062565;201017
32;128;29;32;0.017177;0.028616;0.063022;199560
32;128;30;32;0.016671;0.027821;0.06303;202547
32;128;31;32;0.017779;0.031088;0.063567;216119
32;128;32;32;0.017854;0.031338;0.062674;196070
64;128;1;32;0.01796;0.013023;0.063096;220784
64;128;2;32;0.018201;0.013121;0.066209;210549
64;128;3;32;0.018519;0.013761;0.063172;219670
64;128;4;32;0.017244;0.013217;0.063053;220948
64;128;5;32;0.018645;0.01333;0.063345;243722
64;128;6;32;0.017886;0.013637;0.063504;218483
64;128;7;32;0.018732;0.016775;0.063874;212507
64;128;8;32;0.017456;0.016943;0.063161;215207
64;128;9;32;0.017685;0.016893;0.062881;213286
64;128;10;32;0.01685;0.016703;0.063284;224182
64;128;11;32;0.018292;0.016607;0.06683;233006
64;128;12;32;0.022316;0.016681;0.063184;202761
64;128;13;32;0.019117;0.021284;0.062781;230419
64;128;14;32;0.016782;0.021322;0.062581;210264
64;128;15;32;0.018329;0.020425;0.063099;209299
64;128;16;32;0.017339;0.020052;0.063099;211898
64;128;17;32;0.017664;0.020603;0.063345;207549
64;128;18;32;0.017919;0.020455;0.067905;224927
64;128;19;32;0.01814;0.024426;0.063326;201309
64;128;20;32;0.016749;0.024303;0.062961;205540
64;128;21;32;0.017796;0.023962;0.063682;226523
64;128;22;32;0.017702;0.023986;0.063718;204440
64;128;23;32;0.017432;0.023901;0.063884;204604
64;128;24;32;0.018087;0.024275;0.06323;225367
64;128;25;32;0.0176;0.028018;0.062673;221026
64;128;26;32;0.016875;0.027605;0.062805;201738
64;128;27;32;0.016843;0.028005;0.063257;200296
64;128;28;32;0.01755;0.027656;0.063066;201654
64;128;29;32;0.0175;0.028298;0.062945;197281
64;128;30;32;0.022106;0.027841;0.063671;193691
64;128;31;32;0.018436;0.031185;0.062884;194976
64;128;32;32;0.017389;0.03173;0.062981;195003
128;128;1;32;0.018498;0.013173;0.062629;217008
128;128;2;32;0.017564;0.013606;0.063254;244867
128;128;3;32;0.018456;0.013694;0.063067;214749
128;128;4;32;0.018067;0.013713;0.076615;215479
128;128;5;32;0.018701;0.013914;0.063106;215637
128;128;6;32;0.018617;0.013831;0.075608;225025
128;128;7;32;0.01743;0.017274;0.063081;214539
128;128;8;32;0.018372;0.016622;0.063978;211487
128;128;9;32;0.018443;0.016916;0.075835;217274
128;128;10;32;0.018531;0.017444;0.06637;208173
128;128;11;32;0.016944;0.017432;0.063165;215033
128;128;12;32;0.018708;0.016671;0.063409;212838
128;128;13;32;0.018173;0.021355;0.063068;206262
128;128;14;32;0.018274;0.021167;0.062871;208618
128;128;15;32;0.017722;0.020487;0.063321;209946
128;128;16;32;0.018653;0.020291;0.062542;205953
128;128;17;32;0.017372;0.021102;0.082599;198120
128;128;18;32;0.018628;0.020789;0.063218;206389
128;128;19;32;0.018739;0.023319;0.074084;210838
128;128;20;32;0.018659;0.024027;0.062424;202547
128;128;21;32;0.018088;0.024282;0.076006;206837
128;128;22;32;0.018808;0.02413;0.063028;201675
128;128;23;32;0.018677;0.024827;0.063903;214068
128;128;24;32;0.017757;0.02384;0.077317;208100
128;128;25;32;0.01812;0.027955;0.063345;199029
128;128;26;32;0.018481;0.027646;0.062866;198514
128;128;27;32;0.018667;0.027866;0.06308;197579
128;128;28;32;0.017987;0.02759;0.06244;199648
128;128;29;32;0.017787;0.028218;0.062464;198641
128;128;30;32;0.017945;0.027854;0.065084;197424
128;128;31;32;0.018481;0.03134;0.063593;214058
128;128;32;32;0.018631;0.031352;0.064869;193185
256;128;1;32;0.018919;0.013485;0.06376;208378
256;128;2;32;0.018128;0.014265;0.063117;216762
256;128;3;32;0.017795;0.013568;0.063009;218013
256;128;4;32;0.018115;0.018195;0.063085;211403
256;128;5;32;0.019409;0.013139;0.063927;242022
256;128;6;32;0.018353;0.013647;0.076032;220851
256;128;7;32;0.018734;0.016539;0.063537;210114
256;128;8;32;0.017695;0.017268;0.063377;204716
256;128;9;32;0.01896;0.017141;0.075692;215911
256;128;10;32;0.018728;0.017364;0.063595;208792
256;128;11;32;0.018453;0.017421;0.063986;234397
256;128;12;32;0.018201;0.016992;0.063744;235304
256;128;13;32;0.019014;0.020564;0.063097;205860
256;128;14;32;0.018526;0.020773;0.063731;205232
256;128;15;32;0.018803;0.020757;0.063866;205311
256;128;16;32;0.01802;0.020118;0.063117;208034
256;128;17;32;0.017921;0.020993;0.063458;206843
256;128;18;32;0.018585;0.020737;0.064236;200097
256;128;19;32;0.019633;0.024366;0.063353;200726
256;128;20;32;0.018323;0.024473;0.063496;200603
256;128;21;32;0.018281;0.023984;0.063466;224108
256;128;22;32;0.017978;0.024177;0.063482;201242
256;128;23;32;0.018235;0.024151;0.063066;202083
256;128;24;32;0.018287;0.024274;0.076545;205305
256;128;25;32;0.01862;0.02819;0.063347;197920
256;128;26;32;0.018854;0.028375;0.064243;177121
256;128;27;32;0.017869;0.027852;0.063462;197214
256;128;28;32;0.018202;0.028158;0.064111;195625
256;128;29;32;0.018307;0.027535;0.063022;198668
256;128;30;32;0.01819;0.028387;0.073044;203412
256;128;31;32;0.019345;0.031856;0.064593;190362
256;128;32;32;0.018676;0.031275;0.063692;191790
512;128;1;32;0.018617;0.013402;0.063357;215483
512;128;2;32;0.018532;0.01323;0.064477;240840
512;128;3;32;0.018819;0.013275;0.062727;219001
512;128;4;32;0.01877;0.013363;0.063468;215449
512;128;5;32;0.018738;0.013883;0.063279;215091
512;128;6;32;0.017889;0.013572;0.062684;220749
512;128;7;32;0.022775;0.016579;0.064259;204023
512;128;8;32;0.018148;0.017103;0.064334;208931
512;128;9;32;0.018341;0.016746;0.06333;212329
512;128;10;32;0.018734;0.016697;0.063182;210645
512;128;11;32;0.018227;0.016904;0.064025;212780
512;128;12;32;0.018329;0.016892;0.063769;213097
512;128;13;32;0.017962;0.020034;0.063966;202146
512;128;14;32;0.018431;0.020373;0.063579;207524
512;128;15;32;0.018263;0.020347;0.062937;207858
512;128;16;32;0.018551;0.020728;0.062962;205843
512;128;17;32;0.018362;0.020717;0.063499;208004
512;128;18;32;0.019458;0.020841;0.063558;204287
512;128;19;32;0.01802;0.024076;0.063207;201808
512;128;20;32;0.018855;0.024256;0.064465;221015
512;128;21;32;0.018069;0.023896;0.063766;201131
512;128;22;32;0.018037;0.024395;0.063194;202717
512;128;23;32;0.018538;0.024472;0.075961;205609
512;128;24;32;0.018635;0.023392;0.06269;203758
512;128;25;32;0.022481;0.027579;0.063847;191659
512;128;26;32;0.018483;0.027523;0.063894;192838
512;128;27;32;0.018775;0.027832;0.063549;196450
512;128;28;32;0.018294;0.027564;0.06276;199068
512;128;29;32;0.018338;0.027898;0.063066;197777
512;128;30;32;0.018449;0.02782;0.063588;196328
512;128;31;32;0.017518;0.031247;0.076549;174191
512;128;32;32;0.018572;0.035746;0.076255;191176
