Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
2.57123e+09|2.55316e+10|0.776337|1.51929e+10|2.13122e+10|0|8.08042e+09|7.71981e+09|921130325|9825994|0|173174910|0|536870912|0|16384|16777216|1|6|921130325|921130325
2.53323e+09|2.51046e+10|0.764864|1.4605e+10|7.37944e+09|0|7.77776e+09|7.45499e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|6|880547157|880547157
4.34113e+09|4.28479e+10|1.31073|2.99122e+10|3.61128e+10|0|1.64324e+10|7.86847e+09|817108309|8715332|0|276086265|0|536870912|0|16384|16777216|1|7|817108309|817108309
3.88594e+09|3.82204e+10|1.17329|2.59064e+10|9.03278e+09|0|1.40763e+10|7.94335e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|7|793826645|793826645
2.66701e+09|2.64238e+10|0.805258|1.50997e+10|2.12465e+10|0|9.36525e+09|7.91672e+09|922107904|9836458|0|172207796|0|536870912|0|16384|16777216|1|7|922107904|922107904
2.50666e+09|2.49235e+10|0.756841|1.41217e+10|7.44717e+09|0|8.7948e+09|7.50489e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|7|886303402|886303402
4.29332e+09|4.22697e+10|1.29629|3.04647e+10|3.64157e+10|0|1.82581e+10|7.47958e+09|814798165|8690499|0|278371576|0|536870912|0|16384|16777216|1|8|814798165|814798165
3.92631e+09|3.85408e+10|1.18548|2.64594e+10|8.8161e+09|0|1.59414e+10|7.69194e+09|1073741824|11454085|0|22191443|1|536870912|0|16384|16777216|1|8|788818602|788818602
2.66228e+09|2.63771e+10|0.803828|1.50947e+10|2.11964e+10|0|1.05256e+10|7.87541e+09|922238976|9839155|0|172079421|0|536870912|0|16384|16777216|1|8|922238976|922238976
2.52003e+09|2.49608e+10|0.760879|1.42847e+10|7.38497e+09|0|9.85302e+09|7.43923e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|8|885495125|885495125
4.38e+09|4.30055e+10|1.32246|2.98383e+10|3.59446e+10|0|1.98618e+10|7.79523e+09|821422762|8762494|0|271818974|0|536870912|0|16384|16777216|1|9|821422762|821422762
3.91604e+09|3.83625e+10|1.18238|2.60436e+10|8.78012e+09|0|1.75127e+10|7.66741e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|9|796797610|796797610
2.59102e+09|2.56102e+10|0.782315|1.54071e+10|2.13476e+10|0|1.14806e+10|7.55876e+09|919819605|9809780|0|174469416|0|536870912|0|16384|16777216|1|9|919819605|919819605
