Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
1.78279e+10|1.7813e+11|5.38284|4.58652e+10|1.56534e+11|0|4.44664e+09|1.31043e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|1|853945002|853945002
1.64859e+10|1.64603e+11|4.97763|1.41561e+09|1.52421e+11|0|5.60604e+09|1.62842e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|2|1068072960|1068072960
1.65247e+10|1.64882e+11|4.98933|2.38469e+09|1.5246e+11|0|6.26266e+09|1.62138e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|4|1063070378|1063070378
1.65731e+10|1.6518e+11|5.00394|3.31125e+09|1.52649e+11|0|7.40862e+09|1.61504e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|6|1058870613|1058870613
1.66201e+10|1.65456e+11|5.01815|4.39791e+09|1.52626e+11|0|9.04317e+09|1.60666e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|8|1054031872|1054031872
1.67611e+10|1.6643e+11|5.06073|4.66781e+09|1.53512e+11|0|1.99696e+10|1.61345e+11|1073741824|322387712|322387712|322122496|1|536870912|0|16384|16777216|30|16|1052977834|1052977834
2.02764e+10|2.02624e+11|6.1221|4.73222e+10|1.79904e+11|0|4.56851e+09|1.54048e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|1|870886058|870886058
1.90618e+10|1.90372e+11|5.75536|1.42432e+09|1.76711e+11|0|5.70442e+09|1.88603e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|2|1068586325|1068586325
1.90913e+10|1.90573e+11|5.76429|2.37973e+09|1.76698e+11|0|6.32663e+09|1.87834e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|4|1064342869|1064342869
1.91812e+10|1.91242e+11|5.79142|3.3567e+09|1.77185e+11|0|7.44419e+09|1.87519e+11|1073741824|376061056|376061056|375809536|1|536870912|0|16384|16777216|35|6|1060454400|1060454400
